"Category","Check","Target","Status","Severity","Message","Recommendation"
"DNS","DNS Service","DCFAB20.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCFAB20.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCFAB20.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCFAB20.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCFAB21.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCFAB21.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCFAB21.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCFAB21.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCRET20.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCRET20.retail.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCRET20.retail.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCRET20.retail.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCRET21.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCRET21.retail.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCRET21.retail.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCRET21.retail.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCRET22.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCRET22.retail.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCRET22.retail.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCRET22.retail.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCTRE20.treasury.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCTRE20.treasury.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCTRE20.treasury.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCTRE20.treasury.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCTRE21.treasury.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCTRE21.treasury.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCTRE21.treasury.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
"DNS","Kerberos SRV Record","DCTRE21.treasury.fabrikam.com","Healthy","Info","_kerberos._tcp resolved.",""
"DNS","DNS Service","DCBR20.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"DNS","Hostname Resolution","DCBR20.branches.fabrikam.com","Healthy","Info","Hostname resolved successfully.",""
"DNS","LDAP SRV Record","DCBR20.branches.fabrikam.com","Healthy","Info","_ldap._tcp.dc._msdcs resolved.",""
