"Scope","Domain","Role","Server"
"Forest","-","Schema Master","DCFAB20.fabrikam.com"
"Forest","-","Domain Naming Master","DCFAB20.fabrikam.com"
"Domain","fabrikam.com","PDC Emulator","DCFAB21.fabrikam.com"
"Domain","fabrikam.com","RID Master","DCFAB20.fabrikam.com"
"Domain","fabrikam.com","Infrastructure Master","DCFAB20.fabrikam.com"
"Domain","retail.fabrikam.com","PDC Emulator","DCRET21.retail.fabrikam.com"
"Domain","retail.fabrikam.com","RID Master","DCRET20.retail.fabrikam.com"
"Domain","retail.fabrikam.com","Infrastructure Master","DCRET22.retail.fabrikam.com"
"Domain","treasury.fabrikam.com","PDC Emulator","DCTRE20.treasury.fabrikam.com"
"Domain","treasury.fabrikam.com","RID Master","DCTRE20.treasury.fabrikam.com"
"Domain","treasury.fabrikam.com","Infrastructure Master","DCTRE21.treasury.fabrikam.com"
"Domain","branches.fabrikam.com","PDC Emulator","DCBR21.branches.fabrikam.com"
"Domain","branches.fabrikam.com","RID Master","DCBR20.branches.fabrikam.com"
"Domain","branches.fabrikam.com","Infrastructure Master","DCBR22.branches.fabrikam.com"
