"Category","Check","Target","Status","Severity","Message","Recommendation"
"SYSVOL","SYSVOL Replication Technology","fabrikam.com","Healthy","Info","dfsrmig migration state: Eliminated. SYSVOL is fully migrated to DFSR.",""
"SYSVOL","SYSVOL Replication Technology","retail.fabrikam.com","Healthy","Info","dfsrmig migration state: Eliminated. SYSVOL is fully migrated to DFSR.",""
"SYSVOL","SYSVOL Replication Technology","treasury.fabrikam.com","Healthy","Info","dfsrmig migration state: Eliminated. SYSVOL is fully migrated to DFSR.",""
"SYSVOL","SYSVOL Replication Technology","branches.fabrikam.com","Warning","High","dfsrmig migration state: Prepared. FRS is still active as a fallback replication engine for SYSVOL.","Complete the FRS to DFSR migration (dfsrmig /setglobalstate 3) on branches.fabrikam.com before introducing Windows Server 2022 Domain Controllers. Windows Server 2022 does not support FRS."
"SYSVOL","SYSVOL Share Accessibility","DCFAB20.fabrikam.com","Healthy","Info","\\\\DCFAB20.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCFAB21.fabrikam.com","Healthy","Info","\\\\DCFAB21.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCRET20.retail.fabrikam.com","Healthy","Info","\\\\DCRET20.retail.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCRET21.retail.fabrikam.com","Healthy","Info","\\\\DCRET21.retail.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCRET22.retail.fabrikam.com","Healthy","Info","\\\\DCRET22.retail.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCTRE20.treasury.fabrikam.com","Healthy","Info","\\\\DCTRE20.treasury.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCTRE21.treasury.fabrikam.com","Healthy","Info","\\\\DCTRE21.treasury.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCBR20.branches.fabrikam.com","Healthy","Info","\\\\DCBR20.branches.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCBR21.branches.fabrikam.com","Healthy","Info","\\\\DCBR21.branches.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCBR22.branches.fabrikam.com","Healthy","Info","\\\\DCBR22.branches.fabrikam.com\\SYSVOL is accessible.",""
"SYSVOL","SYSVOL Share Accessibility","DCBR23.branches.fabrikam.com","Critical","High","Unable to access \\\\DCBR23.branches.fabrikam.com\\SYSVOL.","Consistent with the open replication and DNS issues on this DC. Restore connectivity before relying on this DC for logon scripts or GPO delivery."
"SYSVOL","SYSVOL Share Accessibility","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
