"Category","Check","Target","Status","Severity","Message","Recommendation"
"Time","Windows Time Service","DCFAB20.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCFAB20.fabrikam.com","Healthy","Info","Source: Local CMOS Clock (Forest Root PDC)",""
"Time","Windows Time Service","DCFAB21.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCFAB21.fabrikam.com","Healthy","Info","Source: DCFAB20.fabrikam.com",""
"Time","Windows Time Service","DCRET20.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCRET20.retail.fabrikam.com","Healthy","Info","Source: DCFAB20.fabrikam.com (domain hierarchy)",""
"Time","Windows Time Service","DCRET21.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCRET21.retail.fabrikam.com","Healthy","Info","Source: DCRET20.retail.fabrikam.com",""
"Time","Windows Time Service","DCRET22.retail.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCRET22.retail.fabrikam.com","Healthy","Info","Source: DCRET20.retail.fabrikam.com",""
"Time","Windows Time Service","DCTRE20.treasury.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCTRE20.treasury.fabrikam.com","Healthy","Info","Source: DCFAB20.fabrikam.com (domain hierarchy)",""
"Time","Windows Time Service","DCTRE21.treasury.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCTRE21.treasury.fabrikam.com","Healthy","Info","Source: DCTRE20.treasury.fabrikam.com",""
"Time","Windows Time Service","DCBR20.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCBR20.branches.fabrikam.com","Healthy","Info","Source: DCFAB20.fabrikam.com (domain hierarchy)",""
"Time","Windows Time Service","DCBR21.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCBR21.branches.fabrikam.com","Healthy","Info","Source: DCBR20.branches.fabrikam.com",""
"Time","Windows Time Service","DCBR22.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCBR22.branches.fabrikam.com","Healthy","Info","Source: DCBR20.branches.fabrikam.com",""
"Time","Windows Time Service","DCBR23.branches.fabrikam.com","Healthy","Info","Service Status: Running",""
"Time","Time Source","DCBR23.branches.fabrikam.com","Warning","Medium","Phase offset exceeds 2 seconds against DCBR20.branches.fabrikam.com.","Check network latency/packet loss to Hub-Central and confirm w32time poll interval; consistent with the open replication issue on this DC."
"Time","Windows Time Service","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
"Time","Time Source","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
